Charlson comorbidity index and Read codes in CPRD,,,
Charlson_index,Medcode,Readcode,Readterm
1,51261,C10E.12,Insulin dependent diabetes mellitus
1,1647,C108.00,Insulin dependent diabetes mellitus
1,6791,C108800,Insulin dependent diabetes mellitus - poor control
1,72702,C10E812,Insulin dependent diabetes mellitus - poor control
2,65616,C108H00,Insulin dependent diabetes mellitus with arthropathy
2,44260,C108F00,Insulin dependent diabetes mellitus with diabetic cataract
1,60499,C108600,Insulin dependent diabetes mellitus with gangrene
1,44440,C108E00,Insulin dependent diabetes mellitus with hypoglycaemic coma
2,24694,C108B00,Insulin dependent diabetes mellitus with mononeuropathy
2,57621,C108D00,Insulin dependent diabetes mellitus with nephropathy
2,41716,C108C00,Insulin dependent diabetes mellitus with polyneuropathy
2,6509,C108700,Insulin dependent diabetes mellitus with retinopathy
1,44443,C108500,Insulin dependent diabetes mellitus with ulcer
1,1407,C10FJ00,Insulin treated Type 2 diabetes mellitus
1,18278,C109J00,Insulin treated Type 2 diabetes mellitus
1,64668,C10FJ11,Insulin treated Type II diabetes mellitus
1,18264,C109J12,Insulin treated Type II diabetes mellitus
1,37648,C109J11,Insulin treated non-insulin dependent diabetes mellitus
2,52283,C108200,Insulin-dependent diabetes mellitus with neurological comps
2,49276,C108100,Insulin-dependent diabetes mellitus with ophthalmic comps
2,46963,C108000,Insulin-dependent diabetes mellitus with renal complications
1,1517,G73z000,Intermittent claudication
1,22905,H581.00,Interstitial emphysema
1,5051,G61..00,Intracerebral haemorrhage
1,3535,G61z.00,Intracerebral haemorrhage NOS
1,31060,G61X.00,"Intracerebral haemorrhage in hemisphere, unspecified"
1,30202,G617.00,"Intracerebral haemorrhage, intraventricular"
1,57315,G618.00,"Intracerebral haemorrhage, multiple localized"
1,20284,G62z.00,Intracranial haemorrhage NOS
1,5267,H331.00,Intrinsic asthma
1,45073,H331z00,Intrinsic asthma NOS
1,18323,H331111,Intrinsic asthma with asthma attack
1,58196,H331100,Intrinsic asthma with status asthmaticus
1,29325,H331000,Intrinsic asthma without status asthmaticus
1,45521,G714000,Juxtarenal aortic aneurysm
2,43552,B630.11,Kahler's disease
2,50290,B6z0.00,Kaposi's sarcoma of lymph nodes
6,65466,B592X00,Kaposi's sarcoma of multiple organs
2,37549,B05z000,Kaposi's sarcoma of palate
2,27931,B33z000,Kaposi's sarcoma of skin
2,104128,B31z000,Kaposi's sarcoma of soft tissue
2,49525,B59zX00,"Kaposi's sarcoma, unspecified"
2,45499,K01x111,Kimmelstiel - Wilson disease
2,46042,B630300,Lambda light chain myeloma
1,23361,G68..00,Late effects of cerebrovascular disease
1,3665,H331.11,Late onset asthma
1,12987,H33z200,Late-onset asthma
1,14898,G305.00,Lateral myocardial infarction NOS
1,9759,G718.00,Leaking abdominal aortic aneurysm
2,8933,F222.00,Left hemiplegia
1,28314,G61X000,"Left sided intracerebral haemorrhage, unspecified"
1,884,G581.00,Left ventricular failure
2,34926,B625.00,Letterer-Siwe disease
2,47204,B625z00,Letterer-Siwe disease NOS
2,102158,B625200,Letterer-Siwe disease of intrathoracic lymph nodes
2,54083,B625800,Letterer-Siwe disease of lymph nodes of multiple sites
2,102715,B625000,Letterer-Siwe disease of unspecified sites
2,4250,B68z.00,Leukaemia NOS
2,25191,B68..00,Leukaemia of unspecified cell type
2,65123,B624300,Leukaemic reticuloend of intra-abdominal lymph nodes
2,27330,B624.00,Leukaemic reticuloendotheliosis
2,5137,B624.11,Leukaemic reticuloendotheliosis
2,73777,B624z00,Leukaemic reticuloendotheliosis NOS
2,65122,B624000,Leukaemic reticuloendotheliosis of unspecified sites
1,57675,N000100,Libman-Sacks disease
1,43857,C10M.00,Lipoatrophic diabetes mellitus
3,108800,J62z.00,Liver abscess and chronic liver disease causing sequelae NOS
6,4403,B577.11,Liver metastases
2,2587,B22z.11,Lung cancer
1,34001,H4z..00,Lung disease due to external agents NOS
1,58791,H57y.00,Lung disease with diseases EC
1,63912,H57yz00,Lung disease with diseases EC NOS
1,42940,H57y100,Lung disease with polymyositis
1,31564,H57y400,Lung disease with systemic lupus erythematosus
1,94996,H572.00,Lung disease with systemic sclerosis
1,22205,K01x411,Lupus nephritis
6,7830,B56..11,Lymph node metastases
2,4222,B64..11,Lymphatic leukaemia
2,57737,B62x100,Lymphoepithelioid lymphoma
2,95792,B62zz00,Lymphoid and histiocytic malignancy NOS
2,19372,B64..00,Lymphoid leukaemia
2,38914,B64z.00,Lymphoid leukaemia NOS
2,27416,B601.00,Lymphosarcoma
2,63723,B601z00,Lymphosarcoma NOS
2,41369,B60..00,Lymphosarcoma and reticulosarcoma
2,72197,B67y000,Lymphosarcoma cell leukaemia
2,64670,B601300,Lymphosarcoma of intra-abdominal lymph nodes
2,62380,B601200,Lymphosarcoma of intrathoracic lymph nodes
2,71238,B601100,"Lymphosarcoma of lymph nodes of head, face and neck"
2,100352,B601500,Lymphosarcoma of lymph nodes of inguinal region and leg
2,104790,B601800,Lymphosarcoma of lymph nodes of multiple sites
2,103245,B601700,Lymphosarcoma of spleen
2,71625,B601000,Lymphosarcoma of unspecified site
1,1677,G30..15,MI - acute myocardial infarction
1,63479,H32y200,MacLeod's unilateral emphysema
1,22841,J615z11,Macronodular cirrhosis of liver
2,106654,B524W00,"Mal neoplasm/periph nerves+autonomic nervous system,unspc"
2,39531,B25..00,"Malig neo, overlapping lesion of heart, mediastinum & pleura"
2,24456,B201.00,"Malig neop auditory tube, middle ear and mastoid air cells"
2,73537,B201z00,"Malig neop auditory tube, middle ear, mastoid air cells NOS"
2,73718,B310z00,"Malig neop connective and soft tissue head, face, neck NOS"
2,90546,B312z00,Malig neop connective and soft tissue hip and leg NOS
2,54965,B312200,Malig neop connective and soft tissue of popliteal space
2,65233,B31y.00,Malig neop connective and soft tissue other specified site
2,53989,B311.00,Malig neop connective and soft tissue upper limb/shoulder
2,104913,B311z00,Malig neop connective soft tissue upper limb/shoulder NOS
2,98813,B500.00,"Malig neop eyeball excl conjunctiva, cornea, retina, choroid"
2,26652,B20..00,"Malig neop nasal cavities, middle ear and accessory sinuses"
2,18608,B3...00,"Malig neop of bone, connective tissue, skin and breast"
2,41011,B3z..00,"Malig neop of bone, connective tissue, skin and breast NOS"
2,19389,B3y..00,"Malig neop of bone, connective tissue, skin and breast OS"
2,43475,B310.00,"Malig neop of connective and soft tissue head, face and neck"
2,60247,B314z00,Malig neop of connective and soft tissue of abdomen NOS
2,66488,B314000,Malig neop of connective and soft tissue of abdominal wall
2,66088,B312.00,Malig neop of connective and soft tissue of hip and leg
2,67324,B315100,Malig neop of connective and soft tissue of inguinal region
2,30542,B312300,Malig neop of connective and soft tissue of lower leg
2,58836,B315z00,Malig neop of connective and soft tissue of pelvis NOS
2,98408,B313z00,Malig neop of connective and soft tissue of thorax NOS
2,44805,B312100,Malig neop of connective and soft tissue thigh and upper leg
2,57471,B316.00,Malig neop of connective and soft tissue trunk unspecified
2,64195,B54z.00,Malig neop of endocrine gland or related structure NOS
2,13559,B4A..00,Malig neop of kidney and other unspecified urinary organs
2,4555,B45..00,Malig neop of other and unspecified female genital organs
2,65458,B52..00,Malig neop of other and unspecified parts of nervous system
2,30511,B54..00,Malig neop of other endocrine glands and related structures
2,100232,B24y.00,"Malig neop of other site of heart, thymus and mediastinum"
2,34075,B2...00,Malig neop of respiratory tract and intrathoracic organs
2,65880,B304z00,Malig neop of scapula and long bones of upper arm NOS
2,65793,B2z0.00,"Malig neop of upper respiratory tract, part unspecified"
2,11009,B1z..00,Malig neop oth/ill-defined sites digestive tract/peritoneum
2,96971,B20y.00,"Malig neop other site nasal cavity, middle ear and sinuses"
2,55659,B14y.00,"Malig neop other site rectum, rectosigmoid junction and anus"
2,46114,B0z..00,"Malig neop other/ill-defined sites lip, oral cavity, pharynx"
2,44356,B2z..00,Malig neop other/ill-defined sites resp/intrathoracic organs
2,59718,B542z00,Malig neop pituitary gland or craniopharyngeal duct NOS
2,62399,B332z00,Malig neop skin of ear and external auricular canal NOS
2,110192,B315300,Malig neopl of connective and soft tissue - sacrum or coccyx
2,24235,B524.00,Malig neopl peripheral nerves and autonomic nervous system
2,53504,B52W.00,"Malig neopl, overlap lesion brain & other part of CNS"
2,94272,B314100,Malig neoplasm of connective and soft tissues of lumb spine
2,104139,B313300,Malig neoplasm of connective and soft tissues of thor spine
6,8154,B576200,Malignant ascites
2,44267,B623.00,Malignant histiocytosis
2,58871,B623z00,Malignant histiocytosis NOS
2,65642,B623300,Malignant histiocytosis of intra-abdominal lymph nodes
2,94415,B623100,"Malignant histiocytosis of lymph nodes head, face and neck"
2,110903,B623800,Malignant histiocytosis of lymph nodes of multiple sites
2,69497,B623000,Malignant histiocytosis of unspecified site
2,58962,B62x500,Malignant immunoproliferative small intestinal disease
2,15027,B62yz00,Malignant lymphoma NOS
2,12335,B62y.00,Malignant lymphoma NOS
2,42579,B62y300,Malignant lymphoma NOS of intra-abdominal lymph nodes
2,71262,B62y600,Malignant lymphoma NOS of intrapelvic lymph nodes
2,72725,B62y200,Malignant lymphoma NOS of intrathoracic lymph nodes
2,63105,B62y500,Malignant lymphoma NOS of lymph node inguinal region and leg
2,34089,B62y400,Malignant lymphoma NOS of lymph nodes of axilla and arm
2,50696,B62y100,"Malignant lymphoma NOS of lymph nodes of head, face and neck"
2,15504,B62y800,Malignant lymphoma NOS of lymph nodes of multiple sites
2,60092,B62y700,Malignant lymphoma NOS of spleen
2,57427,B62y000,Malignant lymphoma NOS of unspecified site
2,17887,B62x.00,Malignant lymphoma otherwise specified
2,89657,B626z00,Malignant mast cell tumour NOS
2,15036,B626.00,Malignant mast cell tumours
2,42714,B327500,Malignant melanoma of ankle
2,59061,B322000,Malignant melanoma of auricle (ear)
2,49814,B325000,Malignant melanoma of axilla
2,43463,B325700,Malignant melanoma of back
2,32768,B325100,Malignant melanoma of breast
2,53629,B325200,Malignant melanoma of buttock
2,51209,B325800,Malignant melanoma of chest wall
2,71136,B323100,Malignant melanoma of chin
2,57260,B322.00,Malignant melanoma of ear and external auricular canal
2,73744,B322z00,Malignant melanoma of ear and external auricular canal NOS
2,102145,B322100,Malignant melanoma of external auditory meatus
2,41278,B323000,Malignant melanoma of external surface of cheek
2,45139,B323400,Malignant melanoma of external surface of nose
2,47094,B323200,Malignant melanoma of eyebrow
2,54632,B321.00,Malignant melanoma of eyelid including canthus
2,67806,B323z00,Malignant melanoma of face NOS
2,25602,B326400,Malignant melanoma of finger
2,41490,B327700,Malignant melanoma of foot
2,45755,B326200,Malignant melanoma of fore-arm
2,68133,B323300,Malignant melanoma of forehead
2,53369,B327900,Malignant melanoma of great toe
2,34259,B325300,Malignant melanoma of groin
2,62475,B326300,Malignant melanoma of hand
2,61246,B327600,Malignant melanoma of heel
2,73536,B327000,Malignant melanoma of hip
2,54305,B327200,Malignant melanoma of knee
2,70637,B320.00,Malignant melanoma of lip
2,37872,B327400,Malignant melanoma of lower leg
2,46255,B327.00,Malignant melanoma of lower limb and hip
2,64327,B327z00,Malignant melanoma of lower limb or hip NOS
2,45306,B324100,Malignant melanoma of neck
2,47252,B323.00,Malignant melanoma of other and unspecified parts of face
2,42153,B32y.00,Malignant melanoma of other specified skin site
2,109002,B325400,Malignant melanoma of perianal skin
2,95629,B325500,Malignant melanoma of perineum
2,39878,B327300,Malignant melanoma of popliteal fossa area
2,55881,B324000,Malignant melanoma of scalp
2,65625,B324.00,Malignant melanoma of scalp and neck
2,99257,B324z00,Malignant melanoma of scalp and neck NOS
2,50505,B326000,Malignant melanoma of shoulder
2,865,B32..00,Malignant melanoma of skin
2,28556,B32z.00,Malignant melanoma of skin NOS
2,58958,B323500,Malignant melanoma of temple
2,51873,B327100,Malignant melanoma of thigh
2,63997,B326500,Malignant melanoma of thumb
2,36899,B327800,Malignant melanoma of toe
2,38689,B325.00,Malignant melanoma of trunk (excluding scrotum)
2,45760,B325z00,"Malignant melanoma of trunk, excluding scrotum, NOS"
2,43715,B325600,Malignant melanoma of umbilicus
2,54685,B326100,Malignant melanoma of upper arm
2,65164,B326.00,Malignant melanoma of upper limb and shoulder
2,55292,B326z00,Malignant melanoma of upper limb or shoulder NOS
2,57248,B082.00,"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect"
2,15711,B510.00,Malignant neoplasm cerebrum (excluding lobes and ventricles)
2,54103,B16..00,Malignant neoplasm gallbladder and extrahepatic bile ducts
2,15907,B16z.00,Malignant neoplasm gallbladder/extrahepatic bile ducts NOS
2,49301,B6z..00,Malignant neoplasm lymphatic or haematopoietic tissue NOS
2,30646,B6y..00,Malignant neoplasm lymphatic or haematopoietic tissue OS
2,35795,B174.00,Malignant neoplasm of Islets of Langerhans
2,63995,B123.00,Malignant neoplasm of Meckel's diverticulum
2,95016,B0z1.00,Malignant neoplasm of Waldeyer's ring
2,15976,B552.00,Malignant neoplasm of abdomen
2,63470,B102.00,Malignant neoplasm of abdominal oesophagus
2,55246,B20z.00,Malignant neoplasm of accessory sinus NOS
2,65599,B520200,Malignant neoplasm of acoustic nerve
2,105797,B304100,Malignant neoplasm of acromion
2,33388,B071000,Malignant neoplasm of adenoid
2,61390,B540000,Malignant neoplasm of adrenal cortex
2,28148,B540.00,Malignant neoplasm of adrenal gland
2,70824,B540z00,Malignant neoplasm of adrenal gland NOS
2,94220,B540100,Malignant neoplasm of adrenal medulla
2,10949,B162.00,Malignant neoplasm of ampulla of Vater
2,24370,B142.00,Malignant neoplasm of anal canal
2,58121,B014.00,Malignant neoplasm of anterior 2/3 of tongue unspecified
2,102142,B013000,Malignant neoplasm of anterior 2/3 of tongue ventral surface
2,46728,B064.00,Malignant neoplasm of anterior epiglottis
2,73439,B064z00,Malignant neoplasm of anterior epiglottis NOS
2,27715,B242.00,Malignant neoplasm of anterior mediastinum
2,45408,B040.00,Malignant neoplasm of anterior portion of floor of mouth
2,44139,B073.00,Malignant neoplasm of anterior wall of nasopharynx
2,100918,B073z00,Malignant neoplasm of anterior wall of nasopharynx NOS
2,65312,B11y000,Malignant neoplasm of anterior wall of stomach NEC
2,19162,B493.00,Malignant neoplasm of anterior wall of urinary bladder
2,27897,B143.00,Malignant neoplasm of anus unspecified
2,47840,B545100,Malignant neoplasm of aortic body
2,50035,B545.00,Malignant neoplasm of aortic body and other paraganglia
2,103995,B545z00,Malignant neoplasm of aortic body or paraganglia NOS
2,18632,B135.00,Malignant neoplasm of appendix
2,64686,B340100,Malignant neoplasm of areola of female breast
2,67884,B350100,Malignant neoplasm of areola of male breast
2,63460,B213000,Malignant neoplasm of arytenoid cartilage
2,10946,B136.00,Malignant neoplasm of ascending colon
2,107916,B201000,Malignant neoplasm of auditory (Eustachian) tube
2,37618,B551000,Malignant neoplasm of axilla NOS
2,20685,B346.00,Malignant neoplasm of axillary tail of female breast
2,68787,B55y000,Malignant neoplasm of back NOS
2,48073,B510000,Malignant neoplasm of basal ganglia
2,43431,B010.00,Malignant neoplasm of base of tongue
2,34409,B010000,Malignant neoplasm of base of tongue dorsal surface
2,41571,B495.00,Malignant neoplasm of bladder neck
2,40810,B171.00,Malignant neoplasm of body of pancreas
2,48743,B482.00,Malignant neoplasm of body of penis
2,43572,B114.00,Malignant neoplasm of body of stomach
2,7046,B43..00,Malignant neoplasm of body of uterus
2,33617,B43z.00,Malignant neoplasm of body of uterus NOS
2,18314,B30..00,Malignant neoplasm of bone and articular cartilage
2,16075,B30z.00,Malignant neoplasm of bone and articular cartilage NOS
2,59036,B300.00,Malignant neoplasm of bones of skull and face
2,69146,B300z00,Malignant neoplasm of bones of skull and face NOS
2,18617,B51..00,Malignant neoplasm of brain
2,41520,B51z.00,Malignant neoplasm of brain NOS
2,44089,B517.00,Malignant neoplasm of brain stem
2,68641,B517z00,Malignant neoplasm of brain stem NOS
2,101778,B442.00,Malignant neoplasm of broad ligament
2,3903,B22z.00,Malignant neoplasm of bronchus or lung NOS
2,30402,B050.11,Malignant neoplasm of buccal mucosa
2,3811,B134.00,Malignant neoplasm of caecum
2,72212,B308200,Malignant neoplasm of calcaneum
2,36731,B331000,Malignant neoplasm of canthus
2,32022,B110.00,Malignant neoplasm of cardia of stomach
2,37859,B110z00,Malignant neoplasm of cardia of stomach NOS
2,100584,B110000,Malignant neoplasm of cardiac orifice of stomach
2,22894,B110100,Malignant neoplasm of cardio-oesophageal junction of stomach
2,17391,B221000,Malignant neoplasm of carina of bronchus
2,57047,B544.00,Malignant neoplasm of carotid body
2,69104,B305100,Malignant neoplasm of carpal bone - lunate
2,57988,B305000,Malignant neoplasm of carpal bone - scaphoid
2,106069,B305.11,Malignant neoplasm of carpal bones
2,60035,B310300,Malignant neoplasm of cartilage of ear
2,71204,B200000,Malignant neoplasm of cartilage of nose
2,9622,B525.00,Malignant neoplasm of cauda equina
2,31546,B341.00,Malignant neoplasm of central part of female breast
2,45154,B516.00,Malignant neoplasm of cerebellum
2,61399,B510100,Malignant neoplasm of cerebral cortex
2,110766,B521000,Malignant neoplasm of cerebral dura mater
2,28919,B521.00,Malignant neoplasm of cerebral meninges
2,70104,B521z00,Malignant neoplasm of cerebral meninges NOS
2,64557,B517000,Malignant neoplasm of cerebral peduncle
2,109473,B521200,Malignant neoplasm of cerebral pia mater
2,52511,B515.00,Malignant neoplasm of cerebral ventricles
2,54133,B510z00,Malignant neoplasm of cerebrum NOS
2,61695,B100.00,Malignant neoplasm of cervical oesophagus
2,95505,B41y000,Malignant neoplasm of cervical stump
2,46939,B302000,Malignant neoplasm of cervical vertebra
2,2747,B41..00,Malignant neoplasm of cervix uteri
2,28311,B41z.00,Malignant neoplasm of cervix uteri NOS
2,41931,B550100,Malignant neoplasm of cheek NOS
2,31364,B050.00,Malignant neoplasm of cheek mucosa
2,23861,B551100,Malignant neoplasm of chest wall NOS
2,15991,B506.00,Malignant neoplasm of choroid
2,46789,B515000,Malignant neoplasm of choroid plexus
2,59041,B500000,Malignant neoplasm of ciliary body
2,66639,B303200,Malignant neoplasm of clavicle
2,53910,B453.00,Malignant neoplasm of clitoris
2,46159,B142000,Malignant neoplasm of cloacogenic zone
2,46905,B545200,Malignant neoplasm of coccygeal body
2,66908,B306400,Malignant neoplasm of coccygeal vertebra
2,1220,B13..00,Malignant neoplasm of colon
2,28163,B13z.00,Malignant neoplasm of colon NOS
2,96783,B005.00,Malignant neoplasm of commissure of lip
2,7982,B161200,Malignant neoplasm of common bile duct
2,63657,B503.00,Malignant neoplasm of conjunctiva
2,34451,B31..00,Malignant neoplasm of connective and other soft tissue
2,45071,B314.00,Malignant neoplasm of connective and soft tissue of abdomen
2,29160,B313000,Malignant neoplasm of connective and soft tissue of axilla
2,70463,B315000,Malignant neoplasm of connective and soft tissue of buttock
2,91586,B311400,Malignant neoplasm of connective and soft tissue of finger
2,54222,B312400,Malignant neoplasm of connective and soft tissue of foot
2,57482,B311200,Malignant neoplasm of connective and soft tissue of fore-arm
2,19321,B311300,Malignant neoplasm of connective and soft tissue of hand
2,102949,B312000,Malignant neoplasm of connective and soft tissue of hip
2,51965,B315.00,Malignant neoplasm of connective and soft tissue of pelvis
2,59152,B315200,Malignant neoplasm of connective and soft tissue of perineum
2,50222,B311000,Malignant neoplasm of connective and soft tissue of shoulder
2,22290,B313.00,Malignant neoplasm of connective and soft tissue of thorax
2,63988,B311500,Malignant neoplasm of connective and soft tissue of thumb
2,99572,B312500,Malignant neoplasm of connective and soft tissue of toe
2,15182,B31z.00,"Malignant neoplasm of connective and soft tissue, site NOS"
2,64345,B311100,"Malignant neoplasm of connective and soft tissue, upper arm"
2,86996,B501000,Malignant neoplasm of connective tissue of orbit
2,73992,B504.00,Malignant neoplasm of cornea
2,72723,B430000,Malignant neoplasm of cornu of corpus uteri
2,59170,B51y000,Malignant neoplasm of corpus callosum
2,45490,B430z00,Malignant neoplasm of corpus uteri NOS
2,3213,B430.00,"Malignant neoplasm of corpus uteri, excluding isthmus"
2,60403,B303300,Malignant neoplasm of costal cartilage
2,67763,B303400,Malignant neoplasm of costo-vertebral joint
2,99621,B520.00,Malignant neoplasm of cranial nerves
2,101086,B520z00,Malignant neoplasm of cranial nerves NOS
2,39899,B542100,Malignant neoplasm of craniopharyngeal duct
2,37805,B213100,Malignant neoplasm of cricoid cartilage
2,106569,B500200,Malignant neoplasm of crystalline lens
2,107878,B213200,Malignant neoplasm of cuneiform cartilage
2,72445,B161000,Malignant neoplasm of cystic duct
2,19475,B471.00,Malignant neoplasm of descended testis
2,10864,B132.00,Malignant neoplasm of descending colon
2,54186,B313100,Malignant neoplasm of diaphragm
2,15709,B1...00,Malignant neoplasm of digestive organs and peritoneum
2,51255,B1zz.00,Malignant neoplasm of digestive tract and peritoneum NOS
2,44996,B491.00,Malignant neoplasm of dome of urinary bladder
2,43642,B011.00,Malignant neoplasm of dorsal surface of tongue
2,43781,B011z00,Malignant neoplasm of dorsum of tongue NOS
2,18613,B120.00,Malignant neoplasm of duodenum
2,96635,B17y000,Malignant neoplasm of ectopic pancreatic tissue
2,95057,B34y000,Malignant neoplasm of ectopic site of female breast
2,95323,B35z000,Malignant neoplasm of ectopic site of male breast
2,63430,B241000,Malignant neoplasm of endocardium
2,57235,B410000,Malignant neoplasm of endocervical canal
2,53103,B410100,Malignant neoplasm of endocervical gland
2,48820,B410.00,Malignant neoplasm of endocervix
2,50285,B410z00,Malignant neoplasm of endocervix NOS
2,49400,B430211,Malignant neoplasm of endometrium
2,2890,B430200,Malignant neoplasm of endometrium of corpus uteri
2,72127,B484.00,Malignant neoplasm of epididymis
2,55374,B215.00,Malignant neoplasm of epiglottis NOS
2,26134,B064000,"Malignant neoplasm of epiglottis, free border"
2,53594,B300000,Malignant neoplasm of ethmoid bone
2,54636,B203.00,Malignant neoplasm of ethmoid sinus
2,50297,B411.00,Malignant neoplasm of exocervix
2,23433,B161.00,Malignant neoplasm of extrahepatic bile ducts
2,74896,B161z00,Malignant neoplasm of extrahepatic bile ducts NOS
2,20160,B50..00,Malignant neoplasm of eye
2,54956,B50z.00,Malignant neoplasm of eye NOS
2,56718,B500z00,Malignant neoplasm of eyeball NOS
2,43087,B331.00,Malignant neoplasm of eyelid including canthus
2,49828,B441.00,Malignant neoplasm of fallopian tube
2,51926,B062000,Malignant neoplasm of faucial pillar
2,26448,B060000,Malignant neoplasm of faucial tonsil
2,3968,B34..00,Malignant neoplasm of female breast
2,9470,B34z.00,Malignant neoplasm of female breast NOS
2,20166,B45z.00,Malignant neoplasm of female genital organ NOS
2,56513,B307000,Malignant neoplasm of femur
2,50402,B307100,Malignant neoplasm of fibula
2,94427,B305C00,Malignant neoplasm of fifth metacarpal bone
2,110993,B305800,Malignant neoplasm of first metacarpal bone
2,69927,B308800,Malignant neoplasm of first metatarsal bone
2,91035,B010z00,Malignant neoplasm of fixed part of tongue NOS
2,94355,B55y200,Malignant neoplasm of flank NOS
2,20092,B04..00,Malignant neoplasm of floor of mouth
2,36716,B04z.00,Malignant neoplasm of floor of mouth NOS
2,63979,B013100,Malignant neoplasm of frenulum linguae
2,53599,B300100,Malignant neoplasm of frontal bone
2,42426,B511.00,Malignant neoplasm of frontal lobe
2,15684,B204.00,Malignant neoplasm of frontal sinus
2,68155,B430100,Malignant neoplasm of fundus of corpus uteri
2,32362,B113.00,Malignant neoplasm of fundus of stomach
2,16105,B160.00,Malignant neoplasm of gallbladder
2,94278,B110111,Malignant neoplasm of gastro-oesophageal junction
2,13252,B4...00,Malignant neoplasm of genitourinary organ
2,52594,B4z..00,Malignant neoplasm of genitourinary organ NOS
2,38931,B4y..00,Malignant neoplasm of genitourinary organ OS
2,17841,B481.00,Malignant neoplasm of glans penis
2,99913,B510300,Malignant neoplasm of globus pallidus
2,51795,B545000,Malignant neoplasm of glomus jugulare
2,91895,B064100,Malignant neoplasm of glossoepiglottic fold
2,99185,B062100,Malignant neoplasm of glossopalatine fold
2,318,B210.00,Malignant neoplasm of glottis
2,72522,B313200,Malignant neoplasm of great vessels
2,55434,B116.00,Malignant neoplasm of greater curve of stomach unspecified
2,47899,B451000,Malignant neoplasm of greater vestibular (Bartholin's) gland
2,43400,B03..00,Malignant neoplasm of gum
2,93218,B03z.00,Malignant neoplasm of gum NOS
2,73530,B305.00,Malignant neoplasm of hand bones
2,73556,B305z00,Malignant neoplasm of hand bones NOS
2,37590,B052.00,Malignant neoplasm of hard palate
2,55098,B550000,Malignant neoplasm of head NOS
2,8771,B170.00,Malignant neoplasm of head of pancreas
2,68236,B550.00,"Malignant neoplasm of head, neck and face"
2,58903,B550z00,"Malignant neoplasm of head, neck and face NOS"
2,95644,B241.00,Malignant neoplasm of heart
2,50289,B241z00,Malignant neoplasm of heart NOS
2,66750,B24z.00,"Malignant neoplasm of heart, thymus and mediastinum NOS"
2,52537,B161100,Malignant neoplasm of hepatic duct
2,9088,B130.00,Malignant neoplasm of hepatic flexure of colon
2,33444,B221100,Malignant neoplasm of hilus of lung
2,67236,B512000,Malignant neoplasm of hippocampus
2,37112,B6...11,Malignant neoplasm of histiocytic tissue
2,61741,B304200,Malignant neoplasm of humerus
2,34012,B08..00,Malignant neoplasm of hypopharynx
2,28451,B08z.00,Malignant neoplasm of hypopharynx NOS
2,70942,B510400,Malignant neoplasm of hypothalamus
2,33871,B122.00,Malignant neoplasm of ileum
2,44609,B306000,Malignant neoplasm of ilium
2,57854,B553000,Malignant neoplasm of inguinal region NOS
2,65124,B151000,Malignant neoplasm of interlobular bile ducts
2,110775,B151100,Malignant neoplasm of interlobular biliary canals
2,17559,B1z0.00,"Malignant neoplasm of intestinal tract, part unspecified"
2,16915,B151.00,Malignant neoplasm of intrahepatic bile ducts
2,61643,B151z00,Malignant neoplasm of intrahepatic bile ducts NOS
2,89593,B151200,Malignant neoplasm of intrahepatic biliary passages
2,58088,B151400,Malignant neoplasm of intrahepatic gall duct
2,97547,B551200,Malignant neoplasm of intrathoracic site NOS
2,59381,B500100,Malignant neoplasm of iris
2,59223,B306100,Malignant neoplasm of ischium
2,43940,B431.00,Malignant neoplasm of isthmus of uterine body
2,70729,B431z00,Malignant neoplasm of isthmus of uterine body NOS
2,51818,B550300,Malignant neoplasm of jaw NOS
2,43479,B121.00,Malignant neoplasm of jejunum
2,96003,B055000,Malignant neoplasm of junction of hard and soft palate
2,48519,B065.00,Malignant neoplasm of junctional region of epiglottis
2,29462,B4Az.00,Malignant neoplasm of kidney or urinary organs NOS
2,1599,B4A0.00,Malignant neoplasm of kidney parenchyma
2,43761,B451.00,Malignant neoplasm of labia majora
2,59362,B451z00,Malignant neoplasm of labia majora NOS
2,58061,B452.00,Malignant neoplasm of labia minora
2,71584,B507.00,Malignant neoplasm of lacrimal duct
2,64817,B502.00,Malignant neoplasm of lacrimal gland
2,101805,B507000,Malignant neoplasm of lacrimal sac
2,43111,B213.00,Malignant neoplasm of laryngeal cartilage
2,97332,B213z00,Malignant neoplasm of laryngeal cartilage NOS
2,39084,B0z2.00,Malignant neoplasm of laryngopharynx
2,319,B21..00,Malignant neoplasm of larynx
2,9237,B21z.00,Malignant neoplasm of larynx NOS
2,26813,B21y.00,"Malignant neoplasm of larynx, other specified site"
2,45986,B041.00,Malignant neoplasm of lateral portion of floor of mouth
2,59004,B072.00,Malignant neoplasm of lateral wall of nasopharynx
2,102205,B072z00,Malignant neoplasm of lateral wall of nasopharynx NOS
2,56355,B066.00,Malignant neoplasm of lateral wall of oropharynx
2,35963,B492.00,Malignant neoplasm of lateral wall of urinary bladder
2,42193,B115.00,Malignant neoplasm of lesser curve of stomach unspecified
2,24852,B016.00,Malignant neoplasm of lingual tonsil
2,14712,B00..00,Malignant neoplasm of lip
2,73614,B004000,"Malignant neoplasm of lip unspecified, buccal aspect"
2,61692,B004.00,"Malignant neoplasm of lip unspecified, inner aspect"
2,68399,B004200,"Malignant neoplasm of lip unspecified, mucosa"
